TN concentration,
Day,Y
-0.02552783542865722,7.777508156672608
0.2120016231863362,8.946106089976409
0.5507994784163488,3.6882406428750976
0.32406894254624374,5.9066795138147725
0.27650315765249234,7.481694607525504
0.2739516769933674,6.953538111086595
0.2712300976236337,6.390171181551759
0.34182106252609623,5.298443637125285
0.9456714851857182,4.6630228937767555
0.9438003993690263,4.275708129721556
0.9417592148417264,3.8531829325704283
1.0271487675671147,5.824763067489624
1.0245972869079893,5.296606571050715
1.1947578515929185,6.970266546098968
1.1060745692893863,6.458346744763583
1.256101632045946,6.105834176898853
1.3283935840544925,5.36621096343165
1.3263523995271922,4.943685766280522
1.6260663276190948,3.564237561311648
2.012360499410644,5.61084692902857
2.0106595123045605,5.258742598069299
2.1399645497864213,7.083147325086249
2.0916264985541324,6.314851472494384
2.244545239391034,6.560916267260417
2.242504054863734,6.138391070109289
2.3161567965571463,5.680451321409505
2.314115612029846,5.257926124258379
2.387087958880825,4.659144643174885
2.385216873064134,4.271829879119686
2.6779416341357103,3.445542506588934
3.157975315357841,7.192254641554346
3.231457958340646,6.699104459758633
3.302389120664326,5.6777977815240135
3.300518034847634,5.290483017468814
3.3728099868561805,4.550859804001613
3.6637921811368535,3.4635694059404365
4.064431344189707,6.379965258915259
4.061709764819973,5.816598329380424
4.1731055204117045,7.06432907126283
4.290832728009413,6.132879871885578
4.288621444771504,5.675144241638524
4.360403100648226,4.82988972888354
4.6485712057341,3.5930268025150554
5.161157789546765,7.079161011774111
5.277235150827201,6.1654367650960165
5.2751939662999,5.742911567944889
5.348846707993314,5.284971819245104
5.34816631315088,5.144130086861395
5.34612512862358,4.721604889710269
5.678640892069195,3.512272457558865
6.027710662031215,4.473294791964207
6.1925363126107005,7.1840899034451455
6.265338560751072,6.550097989265726
6.263977771066205,6.268414524498308
6.2631272775131634,6.092362359018672
6.33337804499441,4.9302139484003416
6.663078829414648,3.50936766641429
7.0117317029004855,4.012905621831663
7.098822242731957,6.336590087710132
7.095590367230399,5.667591858887514
7.2161255535429145,6.688383381027148
7.323352540734971,5.702189936625253
7.320971158786454,5.20924387328227
7.711177600921992,3.600037569837566
8.080461901652711,5.383254854234606
8.07757022357237,4.784677491603844
8.164490664693234,7.073151524386383
8.238483603807863,6.685632641878453
8.237122814122996,6.403949177111036
8.30958486484215,5.699536396739761
8.307373581604242,5.241800766492707
8.305162298366334,4.784065136245653
8.623194549139136,3.5724965079374993
8.985216943378493,4.218861140636246
8.98351595627241,3.866756809676975
9.068225114155366,5.697495212212461
9.066183929628066,5.274970015061333
9.063462350258332,4.711603085526498
9.185145596289312,6.7572137603279305
9.297518176055414,6.048987187813543
9.292075017315947,4.922253328743871
9.629647248432248,3.607978837280079
9.970428675222022,4.004945002175193
10.1738667331096,6.856479786813475
10.28511128984746,6.328017112695472
10.35281057666958,4.637712205638234
10.680041242331434,3.5182088502210362
11.035076504919648,4.530243840275881
11.119785662802604,6.360982242811367
11.117234182143479,5.832825746372459
11.19939185936731,7.135407652469037
11.604408421441747,3.6699243478189896
11.942212928593946,3.858796190020504
12.022159322579869,4.703642465870027
12.020118138052569,4.2811172687189
12.105847888199175,6.323118269829951
12.10329640754005,5.794961773391043
12.223386097229541,7.097441620261255
12.710658545515457,3.606844882456386
13.008391646687048,4.700988925984538
13.089868929068444,5.862729099697406
13.087487547119927,5.3697830363544234
13.220772036789464,7.160149724917811
13.320012484521536,6.390273240778125
13.749819214938318,3.5519315738249464
14.075590957043799,5.754444260524133
14.073209575095282,5.261498197181153
14.25629495247877,6.972561063409499
14.154686857476678,6.423238370894021
14.691082047985924,3.4319312570700298
14.977624419399847,4.02668361739094
15.061312985019152,5.646159421350863
15.058761504360026,5.118002924911954
15.216283884493714,6.8236035469915075
15.364939183455048,5.680553380635871
15.362217604085314,5.117186451101034
15.432128174145342,3.8846171742908506
15.74377993901812,3.4388410297514795
16.043292841361122,4.763245054067191
16.128172097954685,6.629193889698605
16.220504770776724,7.182716742944961
16.280240345238546,6.699206518984999
16.351171507562224,5.67789984075038
16.349300421745532,5.290585076695178
16.421762472464685,4.586172296323905
16.494734819315667,3.9873908152404116
16.730281033815213,3.389848624762779
17.0315663499956,5.183116711332827
17.0295251654683,4.7605915141817015
17.113043632377,6.3448568850456954
17.110492151717875,5.816700388606787
17.2323124108979,7.136015570469558
17.341486200724006,6.5202966951671435
17.33893472006488,5.992140198728235
17.41088647465221,5.182096119069177
17.407144303018825,4.407466590958778
17.716352112633054,3.4059902577539205
18.016437884417915,4.898779706679919
18.013206008916356,4.229781477857303
18.099275956484178,6.342203345160206
18.096384278403836,5.7436259825294425
18.218204537583862,7.062941164392215
18.3260175377251,6.165538824322381
18.32380625448719,5.707803194075327
18.397458996180603,5.249863445375542
18.395417811653303,4.8273382482244145
18.46770976366185,4.087715034757213
18.754581239102823,3.402091357959735
19.001479517550834,4.649653135122939
18.999438333023534,4.227127937971813
19.08295679993223,5.811393308835807
19.080235220562496,5.248026379300972
19.207450156240803,7.152984519231899
19.161882601654504,6.4449769861097685
19.31395084893836,6.514989615396162
19.381820234471093,4.859895141434853
19.66837470776956,3.5019043535335648
19.986351051973145,4.365316130470029
19.98465006486706,4.013211799510758
20.068508729196978,5.66789803656661
20.228182034961584,6.805575278489095
20.371964828922263,5.667081562755689
20.369413348263137,5.13892506631678
20.442385695114115,4.540143585233288
20.687527954520252,3.5535790683500945
20.9720730799485,4.257031291296759
21.05235967135564,5.1722984333381365
21.050658684249555,4.8201941023788635
21.191913513501884,7.138702707491679
21.13536784213251,6.6509325049143495
