TN concentration one day (current 11 cycles/day),
Hour,Y
9,7.46375881639535
9.05,7.664420967142558
9.100000000000001,7.849440257002893
9.149659271598397,7.987342381197887
9.20015143484516,7.891640381265079
9.250000000000004,7.707999464903011
9.300000000000004,7.466351817668276
9.350000000000005,7.191603035454957
9.400000000000006,7.065964403242752
9.450000000000006,6.888944082835506
9.500000000000007,6.6486219359423195
9.550000000000008,6.779139864707965
9.600000000000009,7.037163098805905
9.65000000000001,7.293336327366713
9.70000000000001,7.473163810334645
9.75000000000001,7.692424957854147
9.800000000000011,8.0328075519957
9.850000000000012,8.372819772273848
9.900000000000013,8.576839864604278
9.950000000000014,8.816145982081066
10.000000000000014,9.003643215992183
10.050000000000015,9.288381736199982
10.100000000000016,9.515655244200694
10.150000000000016,9.710196522655743
10.200000000000017,9.569903887171485
10.250000000000018,9.287419673190898
10.300000000000018,9.101903963186139
10.35000000000002,8.846597648021891
10.40000000000002,8.713311095477831
10.45000000000002,8.600517263376181
10.500000000000021,8.40472252974746
10.550000000000022,8.226087651162887
10.600000000000023,8.196517640725718
10.650000000000023,8.289521900446992
10.700113576133893,8.575870122038038
10.750000000000025,8.791940278493486
10.799962141288736,8.940450221084914
10.850113576133895,9.231389224196752
10.900000000000027,9.421510349645432
10.950000000000028,9.642326685741152
11.000094646778251,9.944508072218653
11.05000000000003,10.201395758496664
11.10000000000003,10.465528274249
11.15000000000003,10.588599129028946
11.200000000000031,10.827419930114107
11.250000000000032,11.091635940862588
11.300000000000033,11.214965033515037
11.350000000000033,11.428958643584476
11.400000000000034,11.400039664352663
11.450000000000035,11.071528822638234
11.500000000000036,10.849862278115006
11.550000000000036,10.51205128278803
11.600000000000037,10.433435036205976
11.650000000000038,10.37453302883344
11.700000000000038,10.525688001164223
11.750000000000039,10.711346031342126
11.80000000000004,10.891692541317548
11.85000000000004,11.065922417697408
11.900000000000041,11.218983569777574
11.950000000000042,11.36041876909535
12.000000000000043,11.532682445664586
12.050000000000043,11.611058357070709
12.100000000000044,11.801411662791649
12.150000000000045,12.000963399005537
12.200000000000045,12.032626047891618
12.250000000000046,12.19856110435564
12.300000000000047,12.327519215105848
12.350000000000048,12.429177745431717
12.400000000000048,12.572734337837039
12.450000000000047,12.691178822269194
12.50000000000005,12.862517258892128
12.55000000000005,13.001832248672445
12.600000000000051,13.142483520254638
12.650000000000052,13.155885187288314
12.700000000000053,12.879417062907752
12.750000000000053,12.521128953420693
12.800000000000054,12.174024458964393
12.850000000000055,11.869825533052534
12.900000000000055,11.460161440125823
12.950000000000056,11.059592344599503
13.000000000000057,10.659701468940222
13.050000000000058,10.336533328496987
13.100000000000058,10.04949548260837
13.150000000000059,10.027933865432171
13.20000000000006,10.079441676693127
13.25000000000006,10.12709395396906
13.300000000000061,10.263982401908544
13.350000000000062,10.357715077318423
13.400000000000063,10.467100392979878
13.450000000000063,10.539443432163477
13.500000000000064,10.620187347341458
13.550000000000065,10.732772345111211
13.600000000000065,10.836999963448728
13.650000000000066,10.932222451899271
13.700000000000067,11.03759644743974
13.750000000000068,11.13357141376023
13.800000000000068,11.23937791918253
13.850000000000069,11.330171128976954
13.90000000000007,11.451901691207762
13.95000000000007,11.250015369678277
14.000000000000071,10.834459121682977
14.050000000000072,10.44248252712618
14.100000000000072,10.121100655174804
14.150000000000073,9.68906260123209
14.200000000000074,9.307133346597764
14.250000000000075,8.971680962733402
14.300000000000075,8.686260269003546
14.350000000000076,8.359922956236087
14.400000000000077,8.100341206770448
14.450000000000077,7.838101509147155
14.500000000000078,7.4712597476541305
14.550000000000079,7.448670869039351
14.60000000000008,7.480557010336948
14.65000000000008,7.581453592002234
14.700000000000081,7.62274670269044
14.750000000000082,7.78565465966857
14.800000000000082,7.9483746748901964
14.850000000000083,8.037252579304418
14.900000000000084,8.162205731787843
14.950000000000085,8.312313314586172
15.000000000000085,8.405863305030788
15.050000000000086,8.523617736078375
15.100000000000087,8.642118893787254
15.150000000000087,8.742924660897202
15.200000000000088,8.653632567488057
15.250000000000089,8.359201236111295
15.30000000000009,8.089782041486586
15.35000000000009,7.798687178031489
15.400000000000091,7.396518959684052
15.450000000000092,7.040927465763218
15.500000000000092,6.643976092688181
15.550000000000091,6.221452885937822
15.600000000000094,5.842568231759813
15.650000000000095,5.546289071097259
15.700000000000095,5.283182836334291
15.750000000000094,5.111251794305209
15.800000000000095,5.091656408856318
15.850000000000094,5.157922633746006
15.900000000000098,5.25349378976447
15.950000000000097,5.339675575189929
16.0000000000001,5.441843484022868
16.050000000000097,5.425783355216003
16.1000000000001,5.23403605779809
16.150000000000098,4.956159929375048
16.200000000000102,4.651542867497842
16.2500000000001,4.25495280440596
16.300000000000104,3.963652280948992
16.3500000000001,3.838340137267883
16.400000000000105,3.8173600168269033
16.450000000000102,3.8234962720874073
16.500000000000107,3.905157802558538
16.549564624820277,4.004361585939607
16.600000000000108,4.096684872451149
16.650000000000105,4.19883798449324
16.70000000000011,4.264054187010842
16.750000000000107,4.395451189823024
16.80000000000011,4.376653730542396
16.850000000000108,4.359432275411535
16.900000000000112,4.387807784334726
16.95000000000011,4.461189530591458
17.000000000000114,4.534311412762067
17.05000000000011,4.440878206306305
17.100000000000115,4.1149555407464575
17.150000000000116,3.820356702038458
17.200000000000117,3.7127679416832997
17.250000000000114,3.602454899577147
17.300000000000118,3.5913123687471007
17.350000000000115,3.6318355953855246
17.40000000000012,3.723226502658317
17.450000000000117,3.7765837586115794
17.500000000000117,3.853599596620281
17.550000000000118,3.945744320436992
17.60000000000012,4.04894367518348
