TN concentration one day (optimal 39 cycles/day),
Hour,Y
9,3.9283854646101233
9.05,4.049158078579838
9.100000000000001,4.200340721439748
9.150000000000002,4.472134088680711
9.200000000000003,4.450073123049519
9.250000000000004,4.3114551602901585
9.300000000000004,4.234209963757408
9.350000000000005,4.347372039118866
9.400000000000006,4.585525486035941
9.450000000000006,4.832896615440184
9.500000000000007,4.954934393691353
9.550000000000008,4.844259122880171
9.600000000000009,4.714315774954581
9.65000000000001,4.922668327832316
9.70000000000001,5.114029445696863
9.75000000000001,5.372128105906874
9.800000000000011,5.432165999497199
9.850000000000012,5.376419446421458
9.900000000000013,5.282486526830807
9.950000000000014,5.353555329743841
10.000000000000014,5.525388296031753
10.050000000000015,5.804404311804063
10.100000000000016,6.0137081847527405
10.150000000000016,5.971199412784999
10.200000000000017,5.830737697567237
10.250000000000018,5.794528638944456
10.300000000000018,6.038744541178037
10.35000000000002,6.454521945041369
10.40000000000002,6.588141619996863
10.45000000000002,6.494273469745302
10.500000000000021,6.36478025521728
10.550000000000022,6.355405610459325
10.600000000000023,6.584944630053251
10.650000000000023,6.853553472402094
10.700000000000024,7.068135097746946
10.750000000000025,7.029291177234581
10.800000000000026,6.895951243338548
10.850000000000026,6.793508187582564
10.900000000000027,6.934048261240848
10.950000000000028,7.10555291027806
11.000000000000028,7.333386495320392
11.05000000000003,7.332218698621233
11.10000000000003,7.157456597019333
11.15000000000003,7.068545032795745
11.200000000000031,7.1823343173983965
11.250000000000032,7.354379299402041
11.300000000000033,7.578233857708463
11.350000000000033,7.56683624397542
11.400000000000034,7.359971387412372
11.450000000000035,7.19672538448031
11.500000000000036,7.2002503819871
11.550000000000036,7.365680634953364
11.600000000000037,7.559313472848576
11.650000000000038,7.635534801945617
11.700000000000038,7.426371137695014
11.750000000000039,7.213996637604758
11.80000000000004,7.1867676058223235
11.85000000000004,7.2973123671950475
11.900000000000041,7.483849150615029
11.950000000000042,7.44442155772499
12.000000000000043,7.216540847741722
12.050000000000043,7.020304130478621
12.100000000000044,6.934685155427566
12.150000000000045,7.070565423944814
12.200000000000045,7.167420542718601
12.250000000000046,7.25131559738565
12.300000000000047,7.048830664288598
12.350000000000048,6.8027930468796
12.400000000000048,6.5952158864907755
12.450000000000049,6.633017266969107
12.50000000000005,6.791333555667157
12.55000000000005,6.851186857510301
12.600000000000051,6.586333477632069
12.65000000000005,6.336296672513608
12.700000000000053,6.148291792265091
12.750000000000053,6.250022960219905
12.800000000000054,6.347559872000911
12.850000000000055,6.429327696213255
12.900000000000055,6.243293601737506
12.950000000000056,5.939415453273179
13.000000000000057,5.754144239331957
13.050000000000058,5.718742325827225
13.100000000000058,5.843300549313891
13.150000000000059,5.922774896582727
13.20000000000006,5.848658120864485
13.25000000000006,5.574450496608556
13.30000000000006,5.2767618130288305
13.350000000000062,5.31039415725229
13.400000000000063,5.405683147048254
13.450000000000063,5.485229752252504
13.500000000000064,5.38812362163514
13.550000000000065,5.0982901193973085
13.600000000000065,4.870256427150402
13.650000000000066,4.842697467412767
13.700000000000067,4.913396787959501
13.750000000000068,5.071614133566911
13.800000000000068,5.042370470661206
13.850000000000067,4.814294393635587
13.90000000000007,4.547702145466836
13.95000000000007,4.414774159150394
14.000000000000071,4.532529017919298
14.050000000000072,4.7106161308758026
14.100000000000072,4.63429263022781
14.150000000000073,4.406848868956725
14.200000000000074,4.163249581028559
14.250000000000075,4.118188231682829
14.300000000000075,4.22023526766062
14.350000000000076,4.317998326776198
14.400000000000077,4.417574649651836
14.450000000000077,4.224187844326012
14.500000000000078,3.985221539073173
14.550000000000079,3.867885746420084
14.60000000000008,3.9306740886146407
14.65000000000008,4.067612421616268
14.700000000000081,4.169224323478144
14.750000000000082,4.000864203625808
14.800000000000082,3.7967299316402876
14.850000000000083,3.7131116073145467
14.900000000000084,3.8073385490427327
14.950000000000085,3.871922157769191
15.000000000000085,4.013573866814511
15.050000000000086,3.917036412503979
15.100000000000087,3.7451525500957192
15.150000000000087,3.637974407995374
15.200000000000088,3.6690527662311894
15.250000000000089,3.770195416012953
15.30000000000009,3.877727226055942
15.35000000000009,3.8584754442941005
15.400000000000091,3.7013333872961542
15.450000000000092,3.576525457069275
15.500000000000092,3.57351273152344
15.550000000000093,3.708971100265126
15.600000000000094,3.804828333493427
15.650000000000095,3.8036650606206113
15.700000000000095,3.5962245786426834
15.750000000000094,3.4864831645945777
15.800000000000093,3.4969199340832198
15.850000000000096,3.598186285840839
15.900000000000098,3.704390060916115
15.950000000000097,3.7817243079435343
16.0000000000001,3.617265114715739
16.050000000000097,3.487882337581688
16.1000000000001,3.399637082972111
16.150000000000098,3.4940014649488518
16.200000000000102,3.628719485230217
16.2500000000001,3.70617315375247
16.300000000000104,3.5152241653286183
16.3500000000001,3.3784966830002396
16.400000000000105,3.3588770642099917
16.450000000000102,3.4513337661282257
16.500000000000107,3.610469466035683
16.550000000000104,3.6921140819868157
16.600000000000108,3.5646796537299608
16.650000000000105,3.3897981862154793
16.70000000000011,3.285807166569164
16.750000000000107,3.383188874093779
16.80000000000011,3.476994312253824
16.850000000000108,3.6477246372309686
16.900000000000112,3.590892609567435
16.95000000000011,3.3662348482109294
17.000000000000114,3.2646589227036227
17.05000000000011,3.373416638850445
17.100000000000115,3.4871641034233622
17.150000000000112,3.6326048739156533
17.200000000000117,3.5218537752236543
17.250000000000114,3.3304968882553325
17.300000000000118,3.223388428704082
17.350000000000115,3.3008875377425717
17.40000000000012,3.396500435851342
17.450000000000117,3.564784608194868
17.50000000000012,3.559422555508254
