Heterogtrophic Biomass,
Day,Y
0,1140.995100631739
0.10000000000000009,1139.202293264445
0.20000000000000018,1141.150303564232
0.30000000000000027,1149.7744089115993
0.3999999999999999,1155.706176802831
0.5000000000000004,1160.2387707884648
0.5999999999999992,1162.6923477090495
0.6999999999999997,1163.1303820059752
0.7999999999999994,1155.8123091205462
0.899999999999999,1144.8672663180269
0.9999999999999987,1132.427598343468
1.1,1124.4201609466747
1.1999999999999997,1123.5890352454392
1.3000000000000003,1135.288238604369
1.399999999999999,1150.7899855741
1.4999999999999996,1153.7321275836516
1.5999999999999992,1155.7180266517444
1.7000000000000006,1153.6649086707293
1.8000000000000003,1145.0915287955181
1.9,1134.4366083619975
2.0000000000000004,1125.7830540766054
2.1,1120.9561877958834
2.2000000000000006,1126.1747604273003
2.3000000000000003,1136.1796998465825
2.4,1145.6557194932789
2.5000000000000004,1151.4449419496195
2.600000000000001,1154.814483926025
2.7000000000000015,1154.672829041658
2.7999999999999994,1149.0617807760461
2.900000000000001,1139.0386748447463
3.0000000000000013,1128.0472746896196
3.100000000000001,1121.6107350728303
3.2000000000000015,1127.2610799600093
3.3000000000000003,1139.946486401822
3.400000000000001,1148.7509583024028
3.500000000000002,1152.7855471899104
3.600000000000002,1155.6868714126472
3.7000000000000015,1153.5531336783201
3.800000000000001,1145.4826365794931
3.9000000000000017,1135.6930480545657
4.000000000000002,1125.758681411559
4.100000000000001,1121.292400854958
4.200000000000001,1125.5103023029133
4.299999999999999,1135.6426273649308
4.4,1145.0889257730767
4.499999999999998,1151.461714717525
4.6,1155.2816158813794
4.699999999999999,1154.6009959457067
4.799999999999997,1150.4908003712524
4.899999999999999,1136.2999356862438
4.999999999999998,1123.828270858158
5.099999999999996,1121.8868787791405
5.199999999999996,1126.0262331311653
5.299999999999997,1141.1131410675962
5.399999999999997,1148.4453290733825
5.4999999999999964,1152.9981786951762
5.599999999999996,1155.558001814333
5.699999999999996,1153.6907901621269
5.799999999999994,1147.2273577877827
5.899999999999993,1137.4798694489502
5.999999999999995,1125.9688100081805
6.0999999999999925,1121.8168447197274
6.199999999999994,1124.3369898495139
6.299999999999992,1134.7824995744645
6.399999999999993,1145.2762043246921
6.499999999999993,1151.6586938467142
6.599999999999994,1154.51624543674
6.699999999999992,1155.3388926166192
6.79999999999999,1144.2386095572995
6.89999999999999,1132.6626996528116
6.999999999999989,1124.2885614430847
7.099999999999991,1121.749860623321
7.199999999999987,1125.675194255791
7.29999999999999,1140.1089480059793
7.39999999999999,1147.5071466908034
7.499999999999988,1152.856853812909
7.599999999999989,1155.7126809810045
7.699999999999987,1154.020319066389
7.7999999999999865,1147.549157256319
7.899999999999988,1137.3016766785893
7.999999999999988,1126.8844928178544
8.099999999999985,1121.7897897442042
8.199999999999985,1124.0293597645184
8.299999999999985,1133.0266284653392
8.399999999999984,1145.1754237082826
8.499999999999984,1151.2185587614267
8.599999999999984,1155.5279603406411
8.699999999999985,1152.630881833293
8.799999999999981,1144.6451170396733
8.899999999999984,1134.2501759576674
8.999999999999982,1125.4028949354772
9.099999999999984,1121.459758291957
9.199999999999983,1127.1745583611755
9.299999999999983,1139.1374169657845
9.399999999999983,1147.1539186892383
9.499999999999982,1152.7024457104003
9.59999999999998,1155.4473421359828
9.699999999999982,1154.7575385304228
9.799999999999978,1148.4591109985922
9.899999999999979,1138.5920486819143
9.999999999999979,1127.885894711487
10.09999999999998,1122.5946947636178
10.19999999999998,1123.377940680086
10.29999999999998,1134.1660134695808
10.399999999999977,1150.120217039402
10.499999999999975,1154.3154445609991
10.599999999999977,1155.9546175800165
10.699999999999976,1152.8038997719464
10.799999999999976,1145.4216508015757
10.899999999999977,1135.6374208035345
10.999999999999977,1125.7430113742669
11.099999999999975,1121.3417446577048
11.199999999999974,1126.52448232774
11.299999999999974,1137.678222465716
11.399999999999974,1147.3768068632173
11.499999999999975,1152.4956969188925
11.599999999999971,1155.6899595452942
11.699999999999974,1155.1635468534628
11.79999999999997,1149.8146894333897
11.899999999999972,1139.912779618094
11.999999999999972,1128.6697184263492
12.099999999999971,1122.885912670636
12.19999999999997,1125.8262269767843
12.299999999999972,1142.4115527616805
12.39999999999997,1148.9963693543311
12.499999999999968,1153.980286817804
12.59999999999997,1155.5963928019814
12.69999999999997,1154.0720553768356
12.799999999999965,1145.9414628348236
12.899999999999967,1137.7282275924292
12.999999999999964,1125.1152672417404
13.09999999999997,1122.06994624788
13.199999999999964,1125.4969844321045
13.299999999999965,1135.7886066640053
13.399999999999963,1148.0565575161763
13.499999999999968,1152.523208250132
13.599999999999966,1155.0795489602224
13.699999999999967,1155.2259016763073
13.799999999999965,1151.1779594981183
13.899999999999967,1138.6559095984787
13.999999999999964,1124.4107987287769
14.099999999999966,1122.0457229219212
14.19999999999996,1129.0589190245973
14.299999999999962,1140.8122241165522
14.39999999999996,1149.1520711628725
14.499999999999964,1153.3970716249485
14.599999999999962,1156.0825652022959
14.69999999999996,1154.3568693806073
14.799999999999962,1147.6320976612235
14.89999999999996,1138.0847370425086
14.999999999999961,1125.353582536889
15.099999999999962,1121.8832656413638
15.199999999999957,1124.7100661894547
15.299999999999962,1135.4705460855344
15.39999999999996,1147.0630055378815
15.499999999999961,1152.3506064660091
15.599999999999955,1155.3337981910895
15.69999999999996,1155.7541008024855
15.799999999999958,1147.8460255467626
15.89999999999996,1133.5600699681993
15.999999999999954,1124.970022240989
16.09999999999996,1121.8972243033645
16.199999999999957,1127.8767726101148
16.299999999999958,1139.6485696755165
16.39999999999996,1148.5721706521458
